domain,organisation,status,reason,doc_lead_urls
audible.com,Audible,doc_lead,,https://mcp.audible.com/mcp` | https://mcp.audible.com/mcp
availproject.org,Availproject,doc_lead,,https://docs.availproject.org/docs/nexus/nexus-ui-elements/mcp-and-agent-skills
bingx.com,Bingx,doc_lead,,https://bingx.com/en/learn/article/understanding-model-context-protocol-mcp-top-5-mcp-crypto-projects-to-watch
bitdefender.com,Bitdefender,doc_lead,,https://businessinsights.bitdefender.com/security-risks-agentic-ai-model-context-protocol-mcp-introduction | https://www.bitdefender.com/en-us/blog/businessinsights/security-risks-agentic-ai-model-context-protocol-mcp-introduction | https://community.bitdefender.com/en/discussion/105943/claude-desktop-mcp-servers-triggering-disinfection
bitget.com,Bitget,doc_lead,,https://www.bitget.com/academy/how-to-connect-bitget-mcp-to-claude-cursor-ai-agents-2026-setup-guide | https://www.bitget.com/asia/academy/how-to-connect-bitget-mcp-to-claude-cursor-ai-agents-2026-setup-guide
blofin.com,Blofin,doc_lead,,https://blofin.com/blofin-mcp | https://blofin.com/en/blofin-mcp
cloud.ru,Cloud,doc_lead,,https://8c88f15b-c8e5-4a1c-b3f2-6b811c271f94-mcp-server.ai-agent.inference.cloud.ru/mcp | https://cloud.ru/docs/ai-agents/ug/topics/guides__create-mcp-server
cobo.com,Cobo,doc_lead,,https://www.cobo.com/products/agentic-wallet/manual/developer/mcp
creditkarma.com,Creditkarma,doc_lead,,https://mcp.creditkarma.com/mcp` | https://mcp.creditkarma.com/mcp
crowdstrike.com,Crowdstrike,doc_lead,,https://developer.crowdstrike.com/falcon-mcp/examples/mcp-config/ | https://developer.crowdstrike.com/falcon-mcp/ | https://developer.crowdstrike.com/falcon-mcp/overview/
dell.com,Dell,doc_lead,,https://www.dell.com/community/en/conversations/dell-openmanage-enterprise/ome-47-mcp-server-client-configuration-and-supported-mcp-clients-claudeai/6a3823bd172f524e9cfda3f8
delltechnologies.com,Delltechnologies,doc_lead,,https://infohub.delltechnologies.com/en-uk/p/agent-operable-infrastructure-an-mcp-thought-experiment/ | https://infohub.delltechnologies.com/en-sg/p/agent-operable-infrastructure-an-mcp-thought-experiment/
discourse.org,Discourse,doc_lead,,https://blog.discourse.org/2025/10/discourse-mcp-is-here/ | https://meta.discourse.org/t/ai-bot-bring-your-own-mcp-server/399667 | https://meta.discourse.org/t/is-there-an-official-discourse-model-context-protocol-mcp/364859
ela.st,Ela,doc_lead,,https://ela.st/agent-builder-mcp
elementor.com,Elementor,doc_lead,,https://elementor.com/blog/make-your-website-ai-ready-with-mcp/
epicgames.com,Epicgames,doc_lead,,https://dev.epicgames.com/documentation/unreal-engine/unreal-mcp-in-unreal-editor?lang=en-US | https://dev.epicgames.com/community/api/user_identity/login/start?destination=https://dev.epicgames.com/documentation/unreal-engine/unreal-mcp-in-unreal-editor?lang=en-US
expressvpn.com,Expressvpn,doc_lead,,https://www.expressvpn.com/support/mcp-server/ | https://www.expressvpn.com/features/mcp-server | https://www.expressvpn.com/blog/expressvpn-first-vpn-mcp-server/
imperva.com,Imperva,doc_lead,,https://www.imperva.com/blog/another-critical-rce-discovered-in-a-popular-mcp-server/
indiehackers.com,Indiehackers,doc_lead,,https://www.indiehackers.com/post/i-think-mcp-will-punish-thin-api-wrappers-8eda2e185a | https://www.indiehackers.com/post/mcp-servers-making-ai-really-useful-and-powerful-WqVBB7thTeNlQR2d1OCM | https://www.indiehackers.com/post/what-i-learned-building-an-mcp-server-boilerplate-the-hard-parts-nobody-talks-about-e86a68c759
insomnia.rest,Insomnia,doc_lead,,https://insomnia.rest/features/mcp-client
kucoin.com,Kucoin,doc_lead,,https://www.kucoin.com/news/flash/langsmith-supports-remote-mcp-server-functionality | https://www.kucoin.com/news/flash/mcp-protocol-to-update-for-easier-ai-integration-with-external-services | https://www.kucoin.com/blog/what-is-mcp-vs-ai-agents
lastpass.com,Lastpass,doc_lead,,https://blog.lastpass.com/posts/mcp-risk-govern-ai-agent-credentials
