host,verdict,reason,http_status,endpoint,prev_server_name,prev_prm_url,prev_authorization_endpoint,www_authenticate,server_name
ch.mcp.release.art,dead,TimeoutError:The read operation timed out,,https://ch.mcp.release.art/,,https://ch.mcp.release.art/.well-known/oauth-protected-resource,https://ch.mcp.release.art/authorize,,
mcp-dev.clootrack.com,dead,TimeoutError:The read operation timed out,,https://mcp-dev.clootrack.com/mcp,,https://mcp-dev.clootrack.com/.well-known/oauth-protected-resource/mcp,https://clootrack-dev-cus-hub-apim-01.azure-api.net/mcp/oauth/authorize,,
mcp-policy-engine-mx.dev.data.xepelin.com,dead,TimeoutError:The read operation timed out,,https://mcp-policy-engine-mx.dev.data.xepelin.com/mcp,,https://mcp-policy-engine-mx.dev.data.xepelin.com/.well-known/oauth-protected-resource,https://mcp-policy-engine-mx.dev.data.xepelin.com/authorize,,
your-store.myshopify.com,dead,URLError:<urlopen error timed out>,,https://your-store.myshopify.com/api/mcp,,https://your-store.myshopify.com/.well-known/oauth-protected-resource,https://shopify.com/authentication/4707582008/oauth/authorize,,
ampcode.com,not_mcp,oauth metadata but not mcp-shaped,403,https://ampcode.com/sse,,,https://auth.ampcode.com/oauth2/authorize,,
api.onesignal.com,not_mcp,oauth metadata but not mcp-shaped,403,https://api.onesignal.com,,https://api.onesignal.com/.well-known/oauth-protected-resource,https://dashboard.onesignal.com/oauth/authorize,,
gameboost.com,not_mcp,oauth metadata but not mcp-shaped,403,https://gameboost.com/sse,,https://gameboost.com/.well-known/oauth-protected-resource/sse,https://gameboost.com/oauth/authorize,,
gopeople.co.kr,not_mcp,status=502 no mcp/oauth signal,502,https://gopeople.co.kr/api/mcp,cafe24-mcp-server,https://gopeople.co.kr/.well-known/oauth-protected-resource/api/mcp,https://gopeople0625.cafe24api.com/api/v2/oauth/authorize,,
mcp.cepr.org,not_mcp,status=403 no mcp/oauth signal,403,https://mcp.cepr.org/mcp,,https://mcp.cepr.org/.well-known/oauth-protected-resource/mcp,https://mcp.cepr.org/authorize,,
mcp.go1.com,not_mcp,status=404 no mcp/oauth signal,404,https://mcp.go1.com/mcp,Go1 Learning Platform MCP Server,https://mcp.go1.com/.well-known/oauth-protected-resource,https://mcp.go1.com/oauth/authorize,,
mcp.romain.siit.dev,not_mcp,status=530 no mcp/oauth signal,530,https://mcp.romain.siit.dev/mcp,,https://mcp.romain.siit.dev/.well-known/oauth-protected-resource/mcp,https://mcp.romain.siit.dev/authorize,,
merryaround.co.kr,not_mcp,status=502 no mcp/oauth signal,502,https://merryaround.co.kr/api/mcp,cafe24-mcp-server,https://merryaround.co.kr/.well-known/oauth-protected-resource/api/mcp,https://sisshop.cafe24api.com/api/v2/oauth/authorize,,
razorpay.com,not_mcp,oauth metadata but not mcp-shaped,403,https://razorpay.com,,https://razorpay.com/.well-known/oauth-protected-resource,https://mcp.razorpay.com/authorize,,
staging.mcp.kanban.youcodetech.com,not_mcp,status=502 no mcp/oauth signal,502,https://staging.mcp.kanban.youcodetech.com/mcp,,https://staging.mcp.kanban.youcodetech.com/.well-known/oauth-protected-resource/mcp,https://staging.mcp.kanban.youcodetech.com/oauth/authorize,,
understandingwar.org,not_mcp,status=403 no mcp/oauth signal,403,https://understandingwar.org/wp-json/mcp/mcp-oauth-server,,https://understandingwar.org/.well-known/oauth-protected-resource,https://understandingwar.org/oauth/authorize,,
mcp.justpark.com,not_oauth,mcp_without_oauth status=200,200,https://mcp.justpark.com/mcp,JustPark MCP,https://mcp.justpark.com/.well-known/oauth-protected-resource,https://mcp.justpark.com/authorize,,justpark
