root_domain,host,endpoint,auth,oauth_confirmed,server_name,authorization_endpoint,token_endpoint,registration_endpoint,dynamic_client_registration,scopes,issuer,confidence,doc_source_page
booking.com,developers.booking.com,https://developers.booking.com/mcp,oauth,True,MCP server,https://developers.booking.com/_mcp/oauth2/auth,https://developers.booking.com/_mcp/oauth2/token-portal,https://developers.booking.com/_mcp/register,True,"openid,profile,email,offline_access",https://auth.cloud.eu.redocly.com,A_verified_mcp,
heap.io,developers.heap.io,https://developers.heap.io/mcp,oauth,True,,https://dash.readme.com/oidc/auth,https://dash.readme.com/oidc/token,https://dash.readme.com/oidc/reg,True,"openid,offline_access,mcp:read,mcp:write,email,profile",https://dash.readme.com/oidc,A_verified_mcp,
huggingface.co,www.huggingface.co,https://www.huggingface.co/v1/mcp,oauth,True,,https://huggingface.co/oauth/authorize,https://huggingface.co/oauth/token,https://huggingface.co/oauth/register,True,"openid,profile,read-mcp,read-repos,jobs,contribute-repos,inference-api",https://huggingface.co,A_verified_mcp,
intercom.com,google-workspace.mcp.intercom.com,https://google-workspace.mcp.intercom.com/sse,oauth,True,,https://google-workspace.mcp.intercom.com/authorize,https://google-workspace.mcp.intercom.com/token,https://google-workspace.mcp.intercom.com/register,True,,https://google-workspace.mcp.intercom.com,A_verified_mcp,
klaviyo.com,developers.klaviyo.com,https://developers.klaviyo.com/mcp,oauth,True,,https://dash.readme.com/oidc/auth,https://dash.readme.com/oidc/token,https://dash.readme.com/oidc/reg,True,"openid,offline_access,mcp:read,mcp:write,email,profile",https://dash.readme.com/oidc,A_verified_mcp,
missiveapp.com,mcp.missiveapp.com,https://mcp.missiveapp.com,oauth,True,,https://auth.missiveapp.com/oauth/authorize,https://auth.missiveapp.com/oauth/token,https://auth.missiveapp.com/oauth/register,True,"conversations:read,conversations:write,contacts:read,organizations:read,drafts:write,drafts:deliver,calendars:read,calendars:write",https://auth.missiveapp.com,A_verified_mcp,
monday.com,developer.monday.com,https://developer.monday.com/mcp,oauth,True,monday.com Developer Documentation,https://dash.readme.com/oidc/auth,https://dash.readme.com/oidc/token,https://dash.readme.com/oidc/reg,True,"openid,offline_access,mcp:read,mcp:write,email,profile",https://dash.readme.com/oidc,A_verified_mcp,
mux.com,mcp.mux.com,https://mcp.mux.com,oauth,True,mux,https://auth.mux.com/oauth2/authorize,https://auth.mux.com/oauth2/token,https://auth.mux.com/oauth2/register,True,"email,offline_access,openid,profile",https://auth.mux.com,A_verified_mcp,
nvidia.com,api.nvidia.com,https://api.nvidia.com/mcp,oauth,True,,,,,False,,,A_verified_mcp,
productboard.com,developer.productboard.com,https://developer.productboard.com/mcp,oauth,True,Productboard Public API,https://dash.readme.com/oidc/auth,https://dash.readme.com/oidc/token,https://dash.readme.com/oidc/reg,True,"openid,offline_access,mcp:read,mcp:write,email,profile",https://dash.readme.com/oidc,A_verified_mcp,
retool.com,app.retool.com,https://app.retool.com/mcp,oauth,True,,https://app.retool.com/auth/oauth2/authorize,https://app.retool.com/api/oauth2/token,https://app.retool.com/api/oauth2/register,True,"mcp:read,mcp:write,mcp:admin",https://app.retool.com,A_verified_mcp,
tableau.com,mcp.tableau.com,https://mcp.tableau.com,oauth,True,,https://sso.online.tableau.com/oauth2/authorize,https://sso.online.tableau.com/oauth2/token,,False,"tableau:mcp:datasource:read,tableau:mcp:workbook:read,tableau:mcp:view:read,tableau:mcp:view:download,tableau:mcp:pulse:read,tableau:mcp:insight:create,tableau:mcp:content:read,tableau:content:read,tableau:mcp_site_settings:read,tableau:viz_data_service:read,tableau:views:download,tableau:insight_definitions_metrics:read",https://sso.online.tableau.com,A_verified_mcp,
tally.so,api.tally.so,https://api.tally.so/mcp,oauth,True,,https://api.tally.so/oauth/authorize,https://api.tally.so/oauth/token,https://api.tally.so/oauth/register/mcp,True,mcp,https://api.tally.so/mcp,A_verified_mcp,
tray.io,api.tray.io,https://api.tray.io/mcp,oauth,True,Tray MCP Server,https://auth.tray.io/server/oauth2/authorize,https://auth.tray.io/server/oauth2/token,https://auth.tray.io/server/oauth2/register,True,"mcp:list_tools,mcp:call_tools",https://auth.tray.io,A_verified_mcp,
withairbnb.com,developer.withairbnb.com,https://developer.withairbnb.com/mcp,oauth,True,,https://dash.readme.com/oidc/auth,https://dash.readme.com/oidc/token,https://dash.readme.com/oidc/reg,True,"openid,offline_access,mcp:read,mcp:write,email,profile",https://dash.readme.com/oidc,A_verified_mcp,
