host,endpoint,confidence,auth,oauth_confirmed,http_status,server_name,server_version,protocol_version,capabilities,authorization_endpoint,token_endpoint,registration_endpoint,dynamic_client_registration,scopes,issuer,prm_url,www_authenticate,doc_source_page,doc_title,doc_evidence
api.nvidia.com,https://api.nvidia.com/mcp,A_verified_mcp,oauth,True,401,,,,,,,,False,,,https://api.nvidia.com/.well-known/oauth-protected-resource,"Bearer resource_metadata=""https://api.nvidia.com/.well-known/oauth-protected-resource""",,,
api.tally.so,https://api.tally.so/mcp,A_verified_mcp,oauth,True,401,,,,,https://api.tally.so/oauth/authorize,https://api.tally.so/oauth/token,https://api.tally.so/oauth/register/mcp,True,mcp,https://api.tally.so/mcp,https://api.tally.so/.well-known/oauth-protected-resource/mcp,"Bearer resource_metadata=""https://api.tally.so/.well-known/oauth-protected-resource/mcp"", scope=""mcp""",,,
api.tray.io,https://api.tray.io/mcp,A_verified_mcp,oauth,True,401,Tray MCP Server,,,,https://auth.tray.io/server/oauth2/authorize,https://auth.tray.io/server/oauth2/token,https://auth.tray.io/server/oauth2/register,True,"mcp:list_tools,mcp:call_tools",https://auth.tray.io,https://api.tray.io/.well-known/oauth-protected-resource/mcp,"Bearer error=""invalid_token"", error_description=""Missing Authorization header"", scope=""mcp:list_tools mcp:call_tools"", resource_metadata=""https://api.tray.io/.well-known/oauth-protected-resource/mcp""",,,
app.retool.com,https://app.retool.com/mcp,A_verified_mcp,oauth,True,401,,,,,https://app.retool.com/auth/oauth2/authorize,https://app.retool.com/api/oauth2/token,https://app.retool.com/api/oauth2/register,True,"mcp:read,mcp:write,mcp:admin",https://app.retool.com,https://app.retool.com/.well-known/oauth-protected-resource,"Bearer realm=""mcp"", resource_metadata=""https://app.retool.com/.well-known/oauth-protected-resource""",,,
developer.booking.com,https://developer.booking.com/api/mcp,A_verified_mcp,oauth,True,403,,,,,https://developers.booking.com:443/_mcp/oauth2/auth,https://developers.booking.com:443/_mcp/oauth2/token-portal,https://developers.booking.com:443/_mcp/register,True,"openid,profile,email,offline_access",https://auth.cloud.eu.redocly.com,,,,,
developer.monday.com,https://developer.monday.com/mcp,A_verified_mcp,oauth,True,200,monday.com Developer Documentation,1.0.0,2025-06-18,tools,https://dash.readme.com/oidc/auth,https://dash.readme.com/oidc/token,https://dash.readme.com/oidc/reg,True,"openid,offline_access,mcp:read,mcp:write,email,profile",https://dash.readme.com/oidc,https://developer.monday.com/.well-known/oauth-protected-resource/mcp,,,,
developer.productboard.com,https://developer.productboard.com/mcp,A_verified_mcp,oauth,True,200,Productboard Public API,2.0.0,2025-06-18,tools,https://dash.readme.com/oidc/auth,https://dash.readme.com/oidc/token,https://dash.readme.com/oidc/reg,True,"openid,offline_access,mcp:read,mcp:write,email,profile",https://dash.readme.com/oidc,https://developer.productboard.com/.well-known/oauth-protected-resource/mcp,,,,
developer.retool.com,https://developer.retool.com/mcp,A_verified_mcp,oauth,True,401,,,,,https://developer.retool.com/auth/oauth2/authorize,https://developer.retool.com/api/oauth2/token,https://developer.retool.com/api/oauth2/register,True,"mcp:read,mcp:write,mcp:admin",https://developer.retool.com,https://developer.retool.com/.well-known/oauth-protected-resource,"Bearer realm=""mcp"", resource_metadata=""https://developer.retool.com/.well-known/oauth-protected-resource""",,,
developer.withairbnb.com,https://developer.withairbnb.com/mcp,A_verified_mcp,oauth,True,401,,,,,https://dash.readme.com/oidc/auth,https://dash.readme.com/oidc/token,https://dash.readme.com/oidc/reg,True,"openid,offline_access,mcp:read,mcp:write,email,profile",https://dash.readme.com/oidc,https://developer.withairbnb.com/.well-known/oauth-protected-resource/mcp,,,,
developers.booking.com,https://developers.booking.com/mcp,A_verified_mcp,oauth,True,200,MCP server,2026-07-30,2025-06-18,"logging,tools",https://developers.booking.com/_mcp/oauth2/auth,https://developers.booking.com/_mcp/oauth2/token-portal,https://developers.booking.com/_mcp/register,True,"openid,profile,email,offline_access",https://auth.cloud.eu.redocly.com,https://developers.booking.com/.well-known/oauth-protected-resource/mcp,,,,
developers.heap.io,https://developers.heap.io/mcp,A_verified_mcp,oauth,True,401,,,,,https://dash.readme.com/oidc/auth,https://dash.readme.com/oidc/token,https://dash.readme.com/oidc/reg,True,"openid,offline_access,mcp:read,mcp:write,email,profile",https://dash.readme.com/oidc,https://developers.heap.io/.well-known/oauth-protected-resource/mcp,,,,
developers.klaviyo.com,https://developers.klaviyo.com/mcp,A_verified_mcp,oauth,True,401,,,,,https://dash.readme.com/oidc/auth,https://dash.readme.com/oidc/token,https://dash.readme.com/oidc/reg,True,"openid,offline_access,mcp:read,mcp:write,email,profile",https://dash.readme.com/oidc,https://developers.klaviyo.com/.well-known/oauth-protected-resource/mcp,,,,
developers.retool.com,https://developers.retool.com/mcp,A_verified_mcp,oauth,True,401,,,,,https://developers.retool.com/auth/oauth2/authorize,https://developers.retool.com/api/oauth2/token,https://developers.retool.com/api/oauth2/register,True,"mcp:read,mcp:write,mcp:admin",https://developers.retool.com,https://developers.retool.com/.well-known/oauth-protected-resource,"Bearer realm=""mcp"", resource_metadata=""https://developers.retool.com/.well-known/oauth-protected-resource""",,,
google-workspace.mcp.intercom.com,https://google-workspace.mcp.intercom.com/sse,A_verified_mcp,oauth,True,401,,,,,https://google-workspace.mcp.intercom.com/authorize,https://google-workspace.mcp.intercom.com/token,https://google-workspace.mcp.intercom.com/register,True,,https://google-workspace.mcp.intercom.com,,"Bearer realm=""OAuth"", error=""invalid_token"", error_description=""Missing or invalid access token""",,,
mcp.missiveapp.com,https://mcp.missiveapp.com,A_verified_mcp,oauth,True,401,,,,,https://auth.missiveapp.com/oauth/authorize,https://auth.missiveapp.com/oauth/token,https://auth.missiveapp.com/oauth/register,True,"conversations:read,conversations:write,contacts:read,organizations:read,drafts:write,drafts:deliver,calendars:read,calendars:write",https://auth.missiveapp.com,https://mcp.missiveapp.com/.well-known/oauth-protected-resource,"Bearer realm=""Missive"", resource_metadata=""https://mcp.missiveapp.com/.well-known/oauth-protected-resource"", scope=""conversations:read conversations:write contacts:read organizations:read drafts:write",,,
mcp.mux.com,https://mcp.mux.com,A_verified_mcp,oauth,True,200,mux,14.1.0,2025-06-18,"logging,tools",https://auth.mux.com/oauth2/authorize,https://auth.mux.com/oauth2/token,https://auth.mux.com/oauth2/register,True,"email,offline_access,openid,profile",https://auth.mux.com,https://mcp.mux.com/.well-known/oauth-protected-resource,,,,
mcp.railway.app,https://mcp.railway.app,A_verified_mcp,oauth,True,401,,,,,https://backboard.railway.com/oauth/auth?resource=https%3A%2F%2Fbackboard.railway.com,https://backboard.railway.com/oauth/token,https://backboard.railway.com/oauth/register,True,"openid,profile,email,offline_access,workspace:member",https://backboard.railway.com,https://mcp.railway.app/.well-known/oauth-protected-resource,"Bearer realm=""mcp"", resource_metadata=""https://mcp.railway.app/.well-known/oauth-protected-resource""",,,
mcp.socket.dev,https://mcp.socket.dev/,A_verified_mcp,oauth,True,200,socket,0.0.20,2025-06-18,tools,https://api.socket.dev/v1/oauth2/authorize,https://api.socket.dev/v1/oauth2/token,https://api.socket.dev/v1/oauth2/register,True,"packages:list,alerts:list,threat-feed:list",https://api.socket.dev,https://mcp.socket.dev/.well-known/oauth-protected-resource,,,,
mcp.tableau.com,https://mcp.tableau.com,A_verified_mcp,oauth,True,401,,,,,https://sso.online.tableau.com/oauth2/authorize,https://sso.online.tableau.com/oauth2/token,,False,"tableau:mcp:datasource:read,tableau:mcp:workbook:read,tableau:mcp:view:read,tableau:mcp:view:download,tableau:mcp:pulse:read,tableau:mcp:insight:create,tableau:mcp:content:read,tableau:content:read,tableau:mcp_site_settings:read,tableau:viz_data_service:read,tableau:views:download,tableau:insight_definitions_metrics:read",https://sso.online.tableau.com,https://mcp.tableau.com/.well-known/oauth-protected-resource,"Bearer realm=""MCP"", resource_metadata=""https://mcp.tableau.com/.well-known/oauth-protected-resource"", scope=""tableau:mcp:datasource:read tableau:mcp:workbook:read tableau:mcp:view:read tableau:mcp:vie",,,
