host,endpoint,server_name,authorization_endpoint,issuer,prm_url,auth,oauth_confirmed,remove_reason
100percentpure.com,https://100percentpure.com/api/mcp,storefront-renderer,https://shopify.com/authentication/6481955/oauth/authorize,https://shopify.com/authentication/6481955,https://100percentpure.com/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
10keiya.com,https://10keiya.com/api/mcp,storefront-renderer,https://shopify.com/authentication/47605448863/oauth/authorize,https://shopify.com/authentication/47605448863,https://10keiya.com/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
12ozprophet.com,https://12ozprophet.com/api/mcp,storefront-renderer,https://shopify.com/authentication/30055554/oauth/authorize,https://shopify.com/authentication/30055554,https://12ozprophet.com/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
12thtribe.com,https://12thtribe.com/api/mcp,storefront-renderer,https://account.12thtribe.com/authentication/oauth/authorize,https://shopify.com/authentication/7475039,https://12thtribe.com/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
1800tequila.com,https://1800tequila.com/api/mcp,storefront-renderer,https://shopify.com/authentication/68506943572/oauth/authorize,https://shopify.com/authentication/68506943572,https://1800tequila.com/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
1stphorm.com,https://1stphorm.com/api/mcp,storefront-renderer,https://account.1stphorm.com/authentication/oauth/authorize,https://shopify.com/authentication/7277543493,https://1stphorm.com/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
260samplesale.com,https://260samplesale.com/api/mcp,storefront-renderer,https://shopify.com/authentication/36836409480/oauth/authorize,https://shopify.com/authentication/36836409480,https://260samplesale.com/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
2brokegirlsboutique.com,https://2brokegirlsboutique.com/api/mcp,storefront-renderer,https://shopify.com/authentication/41279881377/oauth/authorize,https://shopify.com/authentication/41279881377,https://2brokegirlsboutique.com/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
2chattychicks.com,https://2chattychicks.com/api/mcp,storefront-renderer,https://shopify.com/authentication/29362752/oauth/authorize,https://shopify.com/authentication/29362752,https://2chattychicks.com/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
2game.com,https://2game.com/api/mcp,storefront-renderer,https://shopify.com/authentication/96765444421/oauth/authorize,https://shopify.com/authentication/96765444421,https://2game.com/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
2modern.com,https://2modern.com/api/mcp,storefront-renderer,https://accounts.2modern.com/authentication/oauth/authorize,https://shopify.com/authentication/2650083,https://2modern.com/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
2segypt.com,https://2segypt.com/api/mcp,storefront-renderer,https://account.2segypt.com/authentication/oauth/authorize,https://shopify.com/authentication/26146704,https://2segypt.com/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
2undr.com,https://2undr.com/api/mcp,storefront-renderer,https://shopify.com/authentication/31432736901/oauth/authorize,https://shopify.com/authentication/31432736901,https://2undr.com/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
2xu.com,https://2xu.com/api/mcp,storefront-renderer,https://shopify.com/authentication/51840876699/oauth/authorize,https://shopify.com/authentication/51840876699,https://2xu.com/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
32degrees.com,https://32degrees.com/api/mcp,storefront-renderer,https://account.32degrees.com/authentication/oauth/authorize,https://shopify.com/authentication/13261029,https://32degrees.com/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
34stjohn.com,https://34stjohn.com/api/mcp,storefront-renderer,https://shopify.com/authentication/72389558564/oauth/authorize,https://shopify.com/authentication/72389558564,https://34stjohn.com/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
360oder.com,https://360oder.com/api/mcp,storefront-renderer,https://shopify.com/authentication/57777291452/oauth/authorize,https://shopify.com/authentication/57777291452,https://360oder.com/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
361sport.com,https://361sport.com/api/mcp,storefront-renderer,https://shopify.com/authentication/61374890037/oauth/authorize,https://shopify.com/authentication/61374890037,https://361sport.com/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
365mashbir.co.il,https://365mashbir.co.il/api/mcp,storefront-renderer,https://account.365mashbir.co.il/authentication/oauth/authorize,https://shopify.com/authentication/47291236517,https://365mashbir.co.il/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
3broswarehouse.com,https://3broswarehouse.com/api/mcp,storefront-renderer,https://shopify.com/authentication/45837025443/oauth/authorize,https://shopify.com/authentication/45837025443,https://3broswarehouse.com/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
3dgbire.com,https://3dgbire.com/api/mcp,storefront-renderer,https://shopify.com/authentication/7654369/oauth/authorize,https://shopify.com/authentication/7654369,https://3dgbire.com/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
3dtotal.com,https://3dtotal.com/api/mcp,storefront-renderer,https://shopify.com/authentication/49143087266/oauth/authorize,https://shopify.com/authentication/49143087266,https://3dtotal.com/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
3saf.com,https://3saf.com/mcp,storefront,https://accounts.salla.com/oauth/authorize,https://accounts.salla.com,https://3saf.com/.well-known/oauth-protected-resource,oauth,True,shopify_storefront
3txpressions.com,https://3txpressions.com/api/mcp,storefront-renderer,https://shopify.com/authentication/8943444/oauth/authorize,https://shopify.com/authentication/8943444,https://3txpressions.com/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
4-rth.com,https://4-rth.com/api/mcp,storefront-renderer,https://shopify.com/authentication/8347347/oauth/authorize,https://shopify.com/authentication/8347347,https://4-rth.com/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
42lolita.com,https://42lolita.com/api/mcp,storefront-renderer,https://account.42lolita.com/authentication/oauth/authorize,https://shopify.com/authentication/59178451118,https://42lolita.com/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
46furnituremattress.com,https://46furnituremattress.com/api/mcp,storefront-renderer,https://shopify.com/authentication/28067496018/oauth/authorize,https://shopify.com/authentication/28067496018,https://46furnituremattress.com/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
47brand.com,https://47brand.com/api/mcp,storefront-renderer,https://shopify.com/authentication/8173919/oauth/authorize,https://shopify.com/authentication/8173919,https://47brand.com/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
4elementos.com,https://4elementos.com/api/mcp,storefront-renderer,https://mi-cuenta.4elementos.com/authentication/oauth/authorize,https://shopify.com/authentication/98127970634,https://4elementos.com/.well-known/oauth-protected-resource,oauth,True,"shopify_storefront,shopify"
